class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.20090276,-0.4769912,-0.113263376,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824,-0.27898225,-0.37618962,-0.11454824
